halfYear,isHoliday,partOfDay,weatherA,weatherB,SA2_Name,SA3_Name,trafficCount,population,crashesCount
2018H1,0,Day,Fine,Null,Drury East,Drury,4994206.6408839775,1533750.0,13
2018H1,0,Day,Fine,Null,Drury South Crossing,Franklin Central,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,East Tamaki,East Tamaki,4994206.6408839775,1533750.0,36
2018H1,0,Day,Fine,Null,Eastern Beach,Eastern Beach,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Eden Park,Mount Eden  ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Eden Terrace,Eden Terrace,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Eden Valley,Mount Eden  ,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Ellerslie Central,Ellerslie,4994206.6408839775,1533750.0,30
2018H1,0,Day,Fine,Null,Ellerslie East,Ellerslie,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Ellerslie South,Ellerslie,4994206.6408839775,1533750.0,22
2018H1,0,Day,Fine,Null,Ellerslie West,Ellerslie,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Epsom Central-North,Epsom ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Epsom Central-South,Epsom ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Epsom East,Epsom ,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Epsom North,Epsom ,4994206.6408839775,1533750.0,13
2018H1,0,Day,Fine,Null,Epsom South,Epsom ,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Fairview Heights,Fairview Heights,4994206.6408839775,1533750.0,12
2018H1,0,Day,Fine,Null,Farm Cove,Farm Cove,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Favona East,Favona ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Favona North,Favona ,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Favona West,Favona ,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Ferguson,Otara,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Forrest Hill East,Forrest Hill ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Forrest Hill West,Forrest Hill ,4994206.6408839775,1533750.0,20
2018H1,0,Day,Fine,Null,Freemans Bay,Freemans Bay,4994206.6408839775,1533750.0,23
2018H1,0,Day,Fine,Null,Fruitvale,New Lynn ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Glen Eden Central,Glen Eden,4994206.6408839775,1533750.0,13
2018H1,0,Day,Fine,Null,Glen Eden Konini,Glen Eden,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Glen Eden North,Glen Eden,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Glen Eden Rosier,Glen Eden,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Glen Eden West,Glen Eden,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Glen Eden Woodglen,Glen Eden,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Glen Innes East-Wai O Taiki Bay,Glen Innes-Wai O Taiki Bay,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Glen Innes West,Glen Innes-Wai O Taiki Bay,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Glenavon,Avondale (Auckland),4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Glenbrook,Franklin West,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Glendene North East,Glendene,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Glendene North West,Glendene,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Glendene South,Glendene,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Glendowie North,Glendowie ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Glendowie South East,Glendowie ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Glenfield Central,Glenfield ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Glenfield East,Glenfield ,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Glenfield North,Glenfield ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Glenfield South West,Glenfield ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Glenfield West,Glenfield ,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Golflands,Golflands,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Goodwood Heights East,Goodwood Heights,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Goodwood Heights West,Goodwood Heights,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Grafton,Grafton,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Grafton West,Grafton,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Grange,Papatoetoe,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Green Bay North,Green Bay ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Green Bay South,Green Bay ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Greenhithe East,Greenhithe,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Greenhithe South,Greenhithe,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Greenhithe West,Greenhithe,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Greenlane Central,Greenlane ,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Greenlane North,Greenlane ,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Greenlane South,Greenlane ,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Grey Lynn Central,Grey Lynn ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Grey Lynn East,Grey Lynn ,4994206.6408839775,1533750.0,13
2018H1,0,Day,Fine,Null,Grey Lynn North,Grey Lynn ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Grey Lynn West,Grey Lynn ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Half Moon Bay North East,Half Moon Bay,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Half Moon Bay South East,Half Moon Bay,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Half Moon Bay West,Half Moon Bay,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Hamilton Estate,Waiuku,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Harania North,Mangere East,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Harania South,Mangere East,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Hauraki,Hauraki,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Helensville,Helensville,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Helensville Rural,Helensville,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Henderson Central,Henderson,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Henderson East,Henderson,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Henderson Larnoch,Henderson,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Henderson Lincoln East,Henderson,4994206.6408839775,1533750.0,21
2018H1,0,Day,Fine,Null,Henderson Lincoln South,Henderson,4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Henderson Lincoln West,Henderson,4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Henderson North,Henderson,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Henderson North East,Henderson,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Henderson Valley,Waitakere East,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Henderson Valley Park,Henderson,4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Henderson West,Henderson,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Herne Bay,Herne Bay,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Highland Park (Auckland),Highland Park (Auckland),4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Hillcrest East (Auckland),Hillcrest (Auckland),4994206.6408839775,1533750.0,1
