date,SA22023_V1_00,SA32023_V1_00,weatherA,weatherB,light
2024-05-28,132001,51300,Heavy rain,Strong wind,day
2024-05-28,131900,51440,Heavy rain,Strong wind,night
2024-05-28,149600,51830,Heavy rain,Strong wind,night
2024-05-28,165200,52190,Heavy rain,Strong wind,day
2024-05-28,131900,51440,Heavy rain,Strong wind,day
2024-05-28,112102,50480,Heavy rain,Strong wind,day
2024-05-28,120101,50860,Heavy rain,Strong wind,day
2024-05-28,121600,50940,Heavy rain,Strong wind,night
2024-05-28,146301,51680,Heavy rain,Strong wind,night
2024-05-28,112102,50480,Heavy rain,Strong wind,night
2024-05-28,146501,51710,Heavy rain,Strong wind,night
2024-05-28,165200,52190,Heavy rain,Strong wind,night
2024-05-28,141802,51270,Heavy rain,Strong wind,day
2024-05-28,112101,50410,Heavy rain,Strong wind,day
2024-05-28,146302,51680,Heavy rain,Strong wind,night
2024-05-28,158603,52000,Heavy rain,Strong wind,day
2024-05-28,115501,50510,Heavy rain,Strong wind,night
2024-05-28,125800,51030,Heavy rain,Strong wind,day
2024-05-28,138301,51510,Heavy rain,Strong wind,night
2024-05-28,124000,50840,Heavy rain,Strong wind,day
2024-05-28,117202,50670,Heavy rain,Strong wind,night
2024-05-28,141600,51400,Heavy rain,Strong wind,day
2024-05-28,125701,50960,Heavy rain,Strong wind,day
2024-05-28,115501,50510,Heavy rain,Strong wind,day
2024-05-28,158700,52130,Heavy rain,Strong wind,night
2024-05-28,141801,51270,Heavy rain,Strong wind,night
2024-05-28,125701,50960,Heavy rain,Strong wind,night
2024-05-28,138200,51480,Heavy rain,Strong wind,day
2024-05-28,155100,51980,Heavy rain,Strong wind,day
2024-05-28,155100,51980,Heavy rain,Strong wind,night
2024-05-28,155301,51930,Heavy rain,Strong wind,night
2024-05-28,158603,52000,Heavy rain,Strong wind,night
2024-05-28,155301,51930,Heavy rain,Strong wind,day
2024-05-28,158700,52130,Heavy rain,Strong wind,day
2024-05-28,131802,51180,Heavy rain,Strong wind,day
2024-05-28,165301,52270,Heavy rain,Strong wind,night
2024-05-28,129000,51330,Heavy rain,Strong wind,day
2024-05-28,121600,50940,Heavy rain,Strong wind,day
2024-05-28,149701,51280,Heavy rain,Strong wind,day
2024-05-28,146302,51680,Heavy rain,Strong wind,day
2024-05-28,134301,51150,Heavy rain,Strong wind,night
2024-05-28,112101,50410,Heavy rain,Strong wind,night
2024-05-28,143800,51490,Heavy rain,Strong wind,day
2024-05-28,115400,50560,Heavy rain,Strong wind,night
2024-05-28,125800,51030,Heavy rain,Strong wind,night
2024-05-28,155200,51820,Heavy rain,Strong wind,day
2024-05-28,117300,50620,Heavy rain,Strong wind,night
2024-05-28,138301,51510,Heavy rain,Strong wind,day
2024-05-28,141700,51460,Heavy rain,Strong wind,day
2024-05-28,141700,51460,Heavy rain,Strong wind,night
2024-05-28,134301,51150,Heavy rain,Strong wind,day
2024-05-28,159401,52150,Heavy rain,Strong wind,day
2024-05-28,148401,51730,Heavy rain,Strong wind,night
2024-05-28,130500,51320,Heavy rain,Strong wind,night
2024-05-28,151500,51760,Heavy rain,Strong wind,night
2024-05-28,128000,50860,Heavy rain,Strong wind,night
2024-05-28,128301,50960,Heavy rain,Strong wind,day
2024-05-28,163902,52200,Heavy rain,Strong wind,night
2024-05-28,122400,50900,Heavy rain,Strong wind,day
2024-05-28,133301,51150,Heavy rain,Strong wind,day
