date,isHoliday,SA22023_V1_00_Filled,SA22023_V1_00_NAME,SA22023_V1_00_NAME_ASCII,SA32023_V1_00,SA32023_V1_00_NAME,SA32023_V1_00_NAME_ASCII,weatherA,weatherB,partOfDay,Traffic Count,Population
2024-05-28,0,142700,Saint Heliers West,Saint Heliers West,51240,Saint Heliers ,Saint Heliers ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,145900,Penrose,Penrose,51750,Penrose,Penrose,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,145900,Penrose,Penrose,51750,Penrose,Penrose,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,127001,Te Atatū South-North,Te Atatu South-North,50980,Te Atatū South,Te Atatu South,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,127001,Te Atatū South-North,Te Atatu South-North,50980,Te Atatū South,Te Atatu South,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,138502,Newmarket Park,Newmarket Park,51400,Remuera,Remuera,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,138502,Newmarket Park,Newmarket Park,51400,Remuera,Remuera,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,165302,Pukekohe North West,Pukekohe North West,52270,Pukekohe North West,Pukekohe North West,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,165302,Pukekohe North West,Pukekohe North West,52270,Pukekohe North West,Pukekohe North West,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,137600,Sandringham West,Sandringham West,51480,Sandringham ,Sandringham ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,137600,Sandringham West,Sandringham West,51480,Sandringham ,Sandringham ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,134100,Queen Street South West,Queen Street South West,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,134100,Queen Street South West,Queen Street South West,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,118400,Schnapper Rock,Schnapper Rock,50640,Schnapper Rock,Schnapper Rock,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,118400,Schnapper Rock,Schnapper Rock,50640,Schnapper Rock,Schnapper Rock,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
